ave,bf,fiftys,fours,hs,hundreds,inns,mat,no,player,runs,sixs,sr,zeros
-,7,0,0,3*,0,1,5,1,VR Aaron,3,0,42.85,0
4.50,9,0,1,5*,0,3,3,1,Abhishek Sharma,9,0,100.00,0
12.20,57,0,5,24,0,5,8,0,AD Nath,61,2,107.01,0
25.53,234,2,26,58,0,13,13,0,MA Agarwal,332,14,141.88,1
0.00,1,0,0,0,0,1,9,0,KK Ahmed,0,0,0.00,1
27.50,133,2,16,66,0,10,11,2,MM Ali,220,17,165.41,0
33.50,40,0,4,27*,0,5,11,3,JC Archer,67,4,167.50,0
-,-,-,-,-,-,-,3,-,Arshdeep Singh,-,-,-,-
3.00,5,0,0,1*,0,3,10,2,M Ashwin,3,0,60.00,0
8.40,28,0,3,17*,0,6,14,1,R Ashwin,42,3,150.00,2
-,3,0,1,4*,0,1,1,1,Avesh Khan,4,0,133.33,0
55.62,283,2,48,114,1,10,10,2,JM Bairstow,445,18,157.24,1
-,1,0,0,1*,0,1,3,1,Basil Thampi,1,0,100.00,0
-,-,-,-,-,-,-,5,-,JP Behrendorff,-,-,-,-
7.00,12,0,0,7,0,1,1,0,RK Bhui,7,0,58.33,0
0.00,4,0,0,0,0,1,1,0,SW Billings,0,0,0.00,1
23.33,40,0,5,33*,0,5,8,2,STR Binny,70,4,175.00,1
7.00,4,0,0,6,0,3,5,2,TA Boult,7,1,175.00,0
5.50,10,0,1,6,0,2,2,0,CR Brathwaite,11,0,110.00,0
16.00,66,0,6,27,0,9,12,4,DJ Bravo,80,3,121.21,0
-,1,0,0,0*,0,2,16,2,JJ Bumrah,0,0,0.00,0
38.87,205,3,38,89,0,8,8,0,JC Buttler,311,14,151.70,0
-,3,0,0,9*,0,1,1,1,KC Cariappa,9,1,300.00,0
3.00,16,0,0,4,0,3,14,1,YS Chahal,6,0,37.50,0
3.50,9,0,1,7,0,2,17,0,DL Chahar,7,0,77.77,1
6.00,11,0,2,10,0,4,13,2,RD Chahar,12,0,109.09,1
14.00,37,0,4,14*,0,5,13,2,PP Chawla,42,2,113.51,0
-,-,-,-,-,-,-,1,-,P Chopra,-,-,-,-
23.75,55,1,13,55*,0,8,9,4,SM Curran,95,3,172.72,1
9.00,17,0,1,13*,0,3,3,1,BCJ Cutting,18,1,105.88,0
15.33,49,0,4,37,0,4,4,1,C de Grandhomme,46,2,93.87,0
35.26,398,4,45,81,0,16,16,1,Q de Kock,529,25,132.91,1
0.00,1,0,0,0,0,1,1,0,JL Denly,0,0,0.00,1
44.20,287,5,31,82*,0,13,13,3,AB de Villiers,442,26,154.00,0
34.73,384,5,64,97*,0,16,16,1,S Dhawan,521,11,135.67,1
83.20,309,3,22,84*,0,12,15,7,MS Dhoni,416,23,134.62,0
13.33,33,0,1,24,0,4,4,1,S Dube,40,3,121.21,0
36.00,321,3,36,96,0,12,12,1,F du Plessis,396,15,123.36,0
-,-,-,-,-,-,-,5,-,LH Ferguson,-,-,-,-
40.83,319,4,45,99*,0,13,13,1,CH Gayle,490,34,153.60,0
15.75,46,0,8,19*,0,7,14,3,S Gopal,63,1,136.95,2
6.00,19,0,1,9,0,4,7,1,K Gowtham,18,1,94.73,0
27.00,53,0,4,36,0,3,3,0,MJ Guptill,81,7,152.83,0
32.66,70,1,11,65,0,3,3,0,Gurkeerat Singh,98,2,140.00,0
-,5,0,0,1*,0,1,8,1,HF Gurney,1,0,20.00,0
1.00,3,0,0,1,0,1,11,0,Harbhajan Singh,1,0,33.33,0
-,12,0,2,20*,0,1,2,1,Harpreet Brar,20,1,166.66,0
18.00,73,1,4,75,0,5,5,0,SO Hetmyer,90,7,123.28,1
10.66,63,0,5,20,0,7,11,1,DJ Hooda,64,1,101.58,1
-,0,0,0,0*,0,1,17,1,Imran Tahir,0,0,-,0
18.40,154,0,20,47,0,12,12,2,CA Ingram,184,5,119.48,0
16.83,100,0,8,28,0,6,7,0,Ishan Kishan,101,4,101.00,0
30.86,386,3,41,67,0,16,16,1,SS Iyer,463,14,119.94,0
35.33,88,0,7,31*,0,9,16,6,RA Jadeja,106,4,120.45,0
18.00,169,1,19,58,0,12,14,3,KM Jadhav,162,3,95.85,1
-,13,0,2,15*,0,2,3,2,AS Joseph,15,0,115.38,0
31.62,173,2,22,97*,0,13,14,5,KD Karthik,253,14,146.24,0
0.00,1,0,0,0*,0,2,7,1,S Kaul,0,0,0.00,1
45.00,143,1,19,67,0,5,8,1,SN Khan,180,4,125.87,0
-,-,-,-,-,-,-,2,-,K Khejroliya,-,-,-,-
4.50,10,0,0,6,0,2,3,0,H Klaasen,9,0,90.00,0
33.14,328,2,46,100,1,14,14,0,V Kohli,464,13,141.46,0
-,-,-,-,-,-,-,2,-,SC Kuggeleijn,-,-,-,-
6.00,8,0,1,10*,0,4,9,2,Kuldeep Yadav,12,0,150.00,2
-,3,0,1,5*,0,1,10,1,DS Kulkarni,5,0,166.66,0
4.00,19,0,1,7*,0,5,15,2,B Kumar,12,0,63.15,0
15.00,13,0,1,15,0,1,1,0,SD Lad,15,1,115.38,0
0.00,1,0,0,0,0,1,6,0,S Lamichhane,0,0,0.00,1
16.00,52,0,4,32,0,3,3,0,E Lewis,48,2,92.30,0
